,media_list,positive,negative,compound,date_created,tweets_ago
0,BBC,0.0,0.0,0.0,2018-09-08 16:05:02+00:00,0
1,BBC,0.0,0.297,-0.5859,2018-09-08 15:06:04+00:00,-1
2,BBC,0.0,0.0,0.0,2018-09-08 13:08:05+00:00,-2
3,BBC,0.406,0.0,0.624,2018-09-08 12:13:04+00:00,-3
4,BBC,0.209,0.078,0.4497,2018-09-08 11:05:02+00:00,-4
5,BBC,0.388,0.0,0.784,2018-09-08 09:45:13+00:00,-5
6,BBC,0.116,0.0,0.3612,2018-09-08 09:07:04+00:00,-6
7,BBC,0.0,0.219,-0.4215,2018-09-08 08:08:03+00:00,-7
8,BBC,0.091,0.0,0.2732,2018-09-07 19:16:06+00:00,-8
9,BBC,0.0,0.326,-0.5255,2018-09-07 18:01:07+00:00,-9
10,BBC,0.127,0.11,0.1027,2018-09-07 17:10:05+00:00,-10
11,BBC,0.0,0.0,0.0,2018-09-07 15:59:00+00:00,-11
12,BBC,0.104,0.0,0.4199,2018-09-07 14:12:13+00:00,-12
13,BBC,0.0,0.0,0.0,2018-09-07 13:03:06+00:00,-13
14,BBC,0.469,0.0,0.6486,2018-09-07 12:04:03+00:00,-14
15,BBC,0.176,0.0,0.5423,2018-09-07 11:40:11+00:00,-15
16,BBC,0.0,0.193,-0.6486,2018-09-07 11:03:05+00:00,-16
17,BBC,0.0,0.231,-0.5574,2018-09-07 08:26:35+00:00,-17
18,BBC,0.185,0.111,0.296,2018-09-07 08:00:06+00:00,-18
19,BBC,0.0,0.0,0.0,2018-09-07 07:26:05+00:00,-19
20,BBC,0.0,0.405,-0.7297,2018-09-07 07:00:13+00:00,-20
21,BBC,0.0,0.0,0.0,2018-09-06 19:02:04+00:00,-21
22,BBC,0.0,0.0,0.0,2018-09-06 18:04:07+00:00,-22
23,BBC,0.0,0.279,-0.4767,2018-09-06 18:00:14+00:00,-23
24,BBC,0.0,0.0,0.0,2018-09-06 16:02:04+00:00,-24
25,BBC,0.124,0.091,0.2023,2018-09-06 13:01:00+00:00,-25
26,BBC,0.0,0.0,0.0,2018-09-06 12:01:05+00:00,-26
27,BBC,0.161,0.0,0.3182,2018-09-06 11:26:39+00:00,-27
28,BBC,0.142,0.307,-0.4939,2018-09-06 11:08:06+00:00,-28
29,BBC,0.0,0.0,0.0,2018-09-06 10:20:09+00:00,-29
30,BBC,0.07,0.158,-0.5267,2018-09-06 09:07:55+00:00,-30
31,BBC,0.0,0.0,0.0,2018-09-06 08:30:00+00:00,-31
32,BBC,0.143,0.0,0.4588,2018-09-06 07:31:09+00:00,-32
33,BBC,0.0,0.0,0.0,2018-09-06 07:26:06+00:00,-33
34,BBC,0.0,0.0,0.0,2018-09-06 07:00:13+00:00,-34
35,BBC,0.297,0.0,0.6696,2018-09-05 19:31:05+00:00,-35
36,BBC,0.0,0.0,0.0,2018-09-05 19:04:03+00:00,-36
37,BBC,0.0,0.277,-0.3182,2018-09-05 18:05:04+00:00,-37
38,BBC,0.292,0.086,0.651,2018-09-05 17:05:00+00:00,-38
39,BBC,0.098,0.0,0.3612,2018-09-05 16:41:33+00:00,-39
